江西电信,#genre#
武术世界,http://182.110.170.144:4022/udp/239.252.220.180:5140
武术世界,http://182.110.171.242:4022/udp/239.252.220.180:5140
武术世界,http://59.55.24.143:4022/udp/239.252.220.180:5140

江西卫视,http://182.110.170.144:4022/udp/239.252.220.63:5140
江西都市频道,http://182.110.170.144:4022/udp/239.252.220.238:5140
江西经济生活,http://182.110.170.144:4022/udp/239.252.219.173:5140
江西影视旅游,http://182.110.170.144:4022/rtp/239.252.220.242:5140
江西公共农业,http://182.110.170.144:4022/udp/239.252.220.102:5140
江西少儿频道,http://182.110.170.144:4022/udp/239.252.219.113:5140
江西新闻频道,http://182.110.170.144:4022/udp/239.252.220.100:5140
江西教育频道,http://182.110.170.144:4022/udp/239.252.219.115:5140
CCTV-1综合,http://182.110.170.144:4022/udp/239.252.219.200:5140
CCTV-2财经,http://182.110.170.144:4022/udp/239.252.220.183:5140
CCTV-3综艺,http://182.110.170.144:4022/udp/239.252.219.252:5140
CCTV-3综艺,http://182.110.170.144:4022/udp/239.252.220.193:5140
CCTV-4中文国际,http://182.110.170.144:4022/udp/239.252.220.184:5140
CCTV-5体育,http://182.110.170.144:4022/udp/239.252.219.198:5140
CCTV-5体育,http://182.110.170.144:4022/udp/239.252.219.236:5140
CCTV-5+体育赛事,http://182.110.170.144:4022/udp/239.252.219.72:5140
CCTV-6电影,http://182.110.170.144:4022/udp/239.252.219.237:5140
CCTV-6电影,http://182.110.170.144:4022/udp/239.252.220.195:5140
CCTV-7国防军事,http://182.110.170.144:4022/udp/239.252.220.185:5140
CCTV-8电视剧,http://182.110.170.144:4022/udp/239.252.219.253:5140
CCTV-8电视剧,http://182.110.170.144:4022/udp/239.252.220.196:5140
CCTV-9纪录,http://182.110.170.144:4022/udp/239.252.220.186:5140
CCTV-10科教,http://182.110.170.144:4022/udp/239.252.220.91:5140
CCTV-11戏曲,http://182.110.170.144:4022/udp/239.252.219.78:5140
CCTV-12社会与法,http://182.110.170.144:4022/udp/239.252.220.187:5140
CCTV-13新闻,http://182.110.170.144:4022/udp/239.252.219.139:5140
CCTV-14少儿,http://182.110.170.144:4022/udp/239.252.220.92:5140
CCTV-15音乐,http://182.110.170.144:4022/udp/239.252.219.79:5140
CCTV-16奥林匹克,http://182.110.170.144:4022/udp/239.252.220.237:5140
CCTV-17农业农村,http://182.110.170.144:4022/udp/239.252.220.192:5140
CHC影迷电影,http://182.110.170.144:4022/udp/239.252.219.83:5140
CHC家庭影院,http://182.110.170.144:4022/udp/239.252.219.84:5140
CHC动作电影,http://182.110.170.144:4022/udp/239.252.219.85:5140
CCTV-第一剧场,http://182.110.170.144:4022/udp/239.252.219.86:5140
CCTV-风云剧场,http://182.110.170.144:4022/udp/239.252.219.89:5140
CCTV-怀旧剧场,http://182.110.170.144:4022/udp/239.252.219.90:5140
CCTV-央视文化精品,http://182.110.170.144:4022/udp/239.252.219.81:5140

甘肃卫视,http://182.110.170.144:4022/udp/239.252.219.140:5140
海南卫视,http://182.110.170.144:4022/udp/239.252.219.178:5140
广西卫视,http://182.110.170.144:4022/udp/239.252.219.183:5140
云南卫视,http://182.110.170.144:4022/udp/239.252.219.185:5140
天津卫视,http://182.110.170.144:4022/udp/239.252.220.61:5140
湖南卫视,http://182.110.170.144:4022/udp/239.252.219.201:5140
北京卫视,http://182.110.170.144:4022/udp/239.252.219.206:5140
湖北卫视,http://182.110.170.144:4022/udp/239.252.219.208:5140
浙江卫视,http://182.110.170.144:4022/udp/239.252.219.210:5140
黑龙江卫视,http://182.110.170.144:4022/udp/239.252.219.211:5140
深圳卫视,http://182.110.170.144:4022/udp/239.252.219.212:5140
广东卫视,http://182.110.170.144:4022/udp/239.252.219.213:5140
江苏卫视,http://182.110.170.144:4022/udp/239.252.219.214:5140
山东卫视,http://182.110.170.144:4022/udp/239.252.219.228:5140
东方卫视,http://182.110.170.144:4022/udp/239.252.219.229:5140
辽宁卫视,http://182.110.170.144:4022/udp/239.252.220.62:5140
东南卫视,http://182.110.170.144:4022/udp/239.252.220.82:5140
安徽卫视,http://182.110.170.144:4022/udp/239.252.220.83:5140
四川卫视,http://182.110.170.144:4022/udp/239.252.220.93:5140
重庆卫视,http://182.110.170.144:4022/udp/239.252.220.94:5140
河北卫视,http://182.110.170.144:4022/udp/239.252.220.154:5140
吉林卫视,http://182.110.170.144:4022/udp/239.252.220.188:5140
贵州卫视,http://182.110.170.144:4022/udp/239.252.220.190:5140
河南卫视,http://182.110.170.144:4022/udp/239.252.220.189:5140
